"post_id","parent_id","comment_id","text","category"
"359569","","","hi i was wondering if someone would be able to help me decide on the proper set up for a multilevel model using the lmer package in my study we are looking at heart rate in beats per minute before and after a medication some of the participants have a different number of observations but each observations is identified with a day and month and there is no day and month that overlaps among any of the patients for instance id bpm day drug 1 80 3 10 no 1 49 3 10 yes 1 50 4 11 no 1 87 4 11 yes 2 47 4 12 no 2 47 4 12 yes 3 43 5 1 no 3 45 5 1 yesin setting up the model to control for the fact that these are paired could one concivably write it as either i believe these set ups would give same results lmer bpm drug + 1 + drug id date or lmer bpm drug + 1 + drug id + 1 date is it okay to treat date as a random effect we arent interested in time as an effect just using it as a categorical variable to identify that these are paired would this be the best appropriate approach","post"
"420960","","789326.0","cant see a clear question here","comment"
"88193","","172575.0","sean i doubt you can get ci as you reported above with your sample size note that you should not take 95 confidence interval of the mean of your distribution of 1000 estimations instead you should take 95 percentile interval ie almost the whole range are you sure you did that","comment"
"397596","","745793.0","thank you for the explanation i have a better idea of what im doing now","comment"
"106311","106309.0","","reject and fail to reject since when youre testing your hypothesis you basically challenge it based on some data it might happen that your data is just not the right kind proper sample that could reject the null hypothesis this does not mean that the null hypothesis is true it just means that the null hypothesis describes better your data than your alternative hypothesisin case you reject the null hypothesis you are accepting the alternative hypothesis here is a short article about this topic","post"
"300310","113097.0","","the complexity parameter cp in rpart is the minimum improvement in the model needed at each node its based on the cost complexity of the model defined asfor the given tree add up the misclassification at every terminal nodethen multiply the number of splits time a penalty term lambda and add it to the total misclassificationthe lambda is determined through crossvalidation and not reported in rfor regressionmodels see next section the scaled cp has a very direct interpretation if any split doesnot increase the overall r2 of the model by at least cp where r2is the usual linearmodelsdefinition then that split is decreed to be a priori not worth pursuing see the longintro document for rpart","post"
"124538","","237359.0","you could create random orthogonal matrix by qr or gramschmidt processes that will be eigenvectors of pca add scale to its columns turn into loadings get the covariance matrix from these loadings something like that","comment"
"22015","","39814.0","then i would be picking one molecule as a reference are you saying it doesnt make sense to pick every molecule as a reference the similarity between comparisons is a little different depending on which molecule is used as a reference","comment"
"344567","344565.0","","okay so this is tricky and from what i understand i see two scenariosif you have multiple mortality rates and wish to calculate confidence interval on the average of these rates which i am not sure about ci bar x pm z_ alpha 2 frac sigma sqrt n for large samples replace z_alpha with t_alpha for smaller models again bar x and hat sigma can be calculated if you have multiple data pointsbar x sum of the proportions n count totalsigma standard deviationagain this is if you have multiple mortality rates and you want to do an infernec on its averageif you either have one point or you want to infer on proportion of multiple pointsci p pm z_ alpha 2 frac sqrt hat phat q n + z2_ alpha 2 4n2 1+ z2_ alpha 2 n here hat p proportion 1 per 100 000 or 000001 and hat q 1 hat pfor large data sets you can use the formulap pm z_ alpha 2 sqrt hat phat q n","post"
"207864","","395120.0","welcome to our site this looks like a homework or textbook problem please add the selfstudy tag read its wiki http statsstackexchangecom tags selfstudy info","comment"
"125705","","239693.0","it appears you are estimating a system of three equations in such a case you must specify the relation between the three error terms","comment"
"179315","","339992.0","so i need to do bootrapping to get multiple accuracies for same algorithm with different subset","comment"
"46841","","91017.0","your dislike of the stattrek regression explanation is appropriate if you come from a background where true experiments are the norm your reasons all apply there but if you come from a background where quasiexperimental designs are more common then the stattrek site has more relevance in those cases both x and y values are often just random samples","comment"
"179365","","340061.0","e is a constant d has been provided by other experiments","comment"
"93625","","","random effect in crd model begin align y_ ij mu + tau_ i + varepsilon_ ij tau_ i sim mathcal n 0 sigma_ tau 2 varepsilon_ ij sim mathcal n 0 sigma2 end align i want to prove e mstr sigma2+nsigma_ tau 2the following is what i have done so far text let i 1 ldots p quadquad j 1 ldots nbegin align e overline y_ i ebigg frac sum_ j1 n y_ ij n bigg frac sum_ j1 n e mu+tau_ i +varepsilon_ ij n mu+frac sum_ j1 n tau_ i n mu+overline tau_ i e overline y_ ebigg frac sum_ i1 p sum_ j1 n y_ ij np bigg frac sum_ i1 p sum_ j1 n e mu+tau_ i +varepsilon_ ij np mu+frac sum_ i1 p overline tau_ i p e mstr sigma 2 +frac nsum_ i1 p e overline y_ i e overline y_ 2 p1 sigma 2 +frac nsum_ i1 p big overline tau_ i frac sum_ i1 p overline tau_ i p big 2 p1 sigma2+nsigma_ overline tau 2end align could anyone help me find the mistakes i made","post"
"226991","","429952.0","by uncertainty do you mean standard deviation or is ey a noise term or is this a reference to something else is this series independent or as is more typical for time series related over time","comment"
"310225","","589359.0","it seems like my data has monotonic relationship but nonliner the value goes up then steady is it the same as linear with interaction on age","comment"
"64215","","234897.0","why do you multiply the rbinom function by 21 and then d","comment"
"59639","59588.0","","johnross answer is very good in plain english endogeneity means you got the causation wrong that the model you wrote down and estimated does not properly capture the way causation works in the real world when you writebegin equation y_ibeta_0+beta_1x_i+epsilon_iend equation you can think of this equation in a number of ways you could think of it as a convenient way of predicting y based on xs values you could think of it as a convenient way of modeling e y x in either of these cases there is no such thing as endogeneity and you dont need to worry about ithowever you can also think of the equation as embodying causation you can think of beta_1 as the answer to the question what would happen to y if i reached in to this system and experimentally increased x by 1 if you want to think about it that way using ols to estimate it amounts to assuming thatx causes yepsilon causes yepsilon does not cause xy does not cause xnothing which causes epsilon also causes xfailure of any one of 35 will generally result in e epsilon x ne0 or not quite equivalently rm cov x epsilon ne0 instrumental variables is a way of correcting for the fact that you got the causation wrong by making another different causal assumption a perfectly conducted randomized controlled trial is a way of forcing 35 to be true if you pick x randomly then it sure aint caused by y epsilon or anything else socalled natural experiment methods are attempts to find special circumstances out in the world where 35 are true even when we dont think 35 are usually truein johnross example to calculate the wage value of education you need a causal interpretation of beta_1 but there are good reasons to believe that 3 or 5 is falseyour confusion is understandable though it is very typical in courses on the linear model for the instructor to use the causal interpretation of beta_1 i gave above while pretending not to be introducing causation pretending that its all just statistics its a cowardly lie but its also very common in fact it is part of a larger phenomenon in biomedicine and the social sciences it is almost always the case that we are trying to determine the causal effect of x on ythats what science is about after all on the other hand it is also almost always the case that there is some story you can tell leading to a conclusion that one of 35 is false so there is a kind of practiced fluid equivocating dishonesty in which we swat away objections by saying that were just doing associational work and then sneak the causal interpretation back elsewhere normally in the introduction and conclusion sections of the paper if you are really interested the guy to read is judea perl james heckman is also good","post"
"167601","","376131.0","alex right ols is ml at the gaussian and gaussian likelihood is not poisson likelihood","comment"
"81277","","","questioni want to test a medicine and i have two groups of people with baseline blood pressure one i give medicine a and the other one medicine b after 6 months i measure their blood pressurenow there are two optionsi measure the difference of the mean change i forget about the baseline and just measure the difference of the final valueswhen and why do you use method one or method two and what would happen in case you work with the lowest pvalue of each test to reject the nullhypothesis that both tests are equal","post"
"142655","","272701.0","glen_b the question asks for a unimodal distribution though which a smudgedtobecontinuous version of a bernoulli is not","comment"
"85986","","167737.0","so the statement is false as the correct answer is that the ith squared residual is less than or equal to the population variance","comment"
"23656","","","testing for significance of difference between two populations","title"
"59228","","","i am working with several hundred 3d point clouds generated using a 3d scanner and would like to be able to compare their shapes using something like a procrustes analysis instead of manually defining individual landmarks to compare however i was hoping to compare the entire point cloud of each scan to all of the other scans to measure similarity of each point cloud to the rest of the dataset is this possible and if so how would i go about it i would like to use r if possible to do this analysis though i do have access to other tools if need be","post"
"64225","","123816.0","yes the l2 regularisation parameter c lambda or whatever its something that is mentioned in an aside in bottous sgdqn paper and i presume explained better somewhere else basically your learning rate should be the 1 curvature inverse of hessian of your error surface now if your error surface is","comment"
"223506","","423032.0","conceptually i would like to explain a model with increments as proportion of what i have observed in the population so a medium increment would correspond to 68 of the population boundary for that predictor which is one standard deviation if normal perhaps it makes more sense to normalize the data by using quantiles","comment"
"436369","","","i have the following dataa random group of patients with a certain disease who receive a drug at a certain timedose of the drug given to the patient this drug has an affect to the heart which puts the patient to the risk of cardio attackfour parameters p_1 p_4 that are measured before and after the drug is given to the patient these parameters determine patients conditiongeneral information about the patients age bmi etc a binary variable indicating whether the patient survived or notthe data looks like thisd1 dataframe age sample 2050 5 bmi rnorm 5 20 40 p1_pre rnorm 5 05 2 p2_prernorm 5 05 2 p3_prernorm 5 05 2 p4_prernorm 5 05 2 p1_postrnorm 5 05 2 p2_postrnorm 5 05 2 p3_postrnorm 5 05 2 p4_postrnorm 5 05 2 survivedc 1 1 0 0 1 goalcurrent approach the current believe is that only one of the four parameters in item 3 of the above list lets call it p1 is an important indicator for knowing the patients condition who has taken the drug is bad and therefore we should stop giving him her the drugso the practice is that p1 is calculated before and after the treatment and if the value of p1 falls below an acceptable value the drug is stoppedhypothesis the hypothesis is that1is not the only indicator but the other 3 parameters in item 3 of the above list are also important indicators for knowing the patients condition after taking the drugquestion what is the best way to study this data how can i use the general information of the patients and the binary outcomeany help is greatly appreciatedthanks in advance","post"
"40502","39216.0","","creating a theoretical response doesnt seem very promising as it doesnt exist in practice on the other hand i would suggest to use a standard statistical model logistic regression with a random effect on the subject level for example to see which biomarker predicts the group treatment versus control more accurately this would be the biomarker which is most adapted to your study i suppose","post"
"420219","","783987.0","generally when you have an informative prior that is quite wrong in an informal sense eg normal 0 1 when the actual value is 36 your credible interval in the absence of a lot of data will be pretty poor when looked at from a frequentist perspective","comment"
"401389","401309.0","","first notice that we can write the last expectation as mathbf e ex x0 1 int ex f_ x x0 x dx 1 we will focus on evaluating the integrallet phi_ mu sigma be the distribution function of the mathcal n mu sigma2 writting in an informal manner the density of x x0 is given bybegin align f_ x x0 x frac p x x x0 p x0 mathcal 1 _ 0 infty x left frac e frac xmu 2 2sigma2 sqrt 2pisigma2 right frac 1 1phi_ mu sigma 0 quad end align therefore the integral becomes int ex f_ x x0 x dx frac 1 1phi_ mu sigma 0 int_0infty exfrac e frac xmu 2 2sigma2 sqrt 2pisigma2 dxbefore evaluating it we do a little algebra with the terms on the exponential functionbegin align x + frac xmu 2 2sigma2 frac x2+2x mu+sigma2 mu2 2sigma2 frac x2+2x mu+sigma2 mu+sigma2 2 2sigma2 +frac mu2+ mu+sigma2 2 2sigma2 frac x mu+sigma2 2 sigma2 + mu+frac sigma2 2 quadend align define mu mu+sigma2 we evaluate the integralbegin align int ex f_ x x0 x dx frac 1 1phi_ mu sigma 0 int_0infty exfrac e frac xmu 2 2sigma2 sqrt 2pisigma2 dx e mu+frac sigma2 2 frac 1 1phi_ mu sigma 0 int_0infty frac e frac xmu 2 2sigma2 sqrt 2pisigma2 dx e mu+frac sigma2 2 frac 1phi_ mu sigma 0 1phi_ mu sigma 0 int_0infty frac e frac xmu 2 2sigma2 sqrt 2pisigma2 frac 1 1phi_ mu sigma 0 dx e mu+frac sigma2 2 frac 1phi_ mu sigma 0 1phi_ mu sigma 0 end align the final equation holds because we are integrating the density of a random variable of the form x x0 where x sim mathcal n mu sigma2 hencee ex1 ex10 e mu+frac sigma2 2 frac 1phi_ mu sigma 0 1phi_ mu sigma 0 1quadobs this is my first answer i would be grateful if you could told me what i should improve thanks hope it helps","post"
"117541","","225069.0","1+ thank you very nice answer unfortunately i think you didnt address the specifics of determining values for priors when you already have the measurement variability assuming you did the work necessary in case 2 or believe what the manufacturer says in case 1 for example suppose the variability is 01 as in the original question why did the author writes 01 2 assuming 2 is the standard deviation what procedure leads to that result","comment"
"234303","233487.0","","you could simply use the fact that v y mathbb e y2 mathbb e y 2 estimate the conditional expectations of y2 and y separately then estimate the conditional variance by hat v y x hat mathbb e y2 x hat mathbb e y x 2no double smoothing involved this way","post"
"100854","","196282.0","thanks of the response this measure does not ensure that the highest similarity value will be when matching the same vector for example matching v1 with v1 according to the similarity table given in the question the similarity score will be mean aa + ab + ac + ba + bb + bc + ca + cb + cc 352 9 0391","comment"
"82020","","","i have two doubt one about theory and one about practical problemfirst i have not full understand how to work a bayesian network with continuous values i have learn that i can approximate p a the probability of node a with a gaussian distribution but i have a dataset mean and variance of the gaussian distribution is the mean and the variance of the dataset and if i have p a b c with a and b with continuous values how i can represent with a gaussian distribution the practical problem is i need to learn a a bayesian structure from a continuous values dataset and i use this toolbox for matlabhttp codegooglecom p bnt bayes net toolbox for matlab by kevin murphy now how i can use to learn a bayesian structure from a dataset of continuous values with this toolsif i use learn_struct_k2 function i need the order of nodes but where i can get this order there are other useful functions in this toolbox that you know about this problem","post"
"51604","","","ordinal trends and finding concordant and discordant pairs","title"
"198362","","","how to define a 2d gaussian using 1d variance of component gaussians","title"
"1446","","420479.0","also note that there are zeroinflated models extra zeroes and you care about some zeroes a mixture model and hurdle models zeroes and you care about nonzeroes a twostage model with an initial censored model","comment"
"52133","","102011.0","this is from a national database in usa the test is done to determine if more number of males have rectal cancer versus females in a particular age group","comment"
"16409","16305.0","","partial least squares will do what you want the pls library in r is what ive traditionally used heres an example that creates 3 groups of 50 points assembles them into a data frame with group labels and runs pls on themlibrary mass library pls pts1 mvrnorm 50 c 3 0 3 diag c 1 1 1 pts2 mvrnorm 50 c 3 0 3 diag c 1 1 1 pts3 mvrnorm 50 c 3 3 3 diag c 1 1 1 pts asdataframe rbind pts1 pts2 pts3 ptslabels c rep 1 50 rep 2 50 rep 3 50 plsresult plsr labels ncomp2 datapts plot plsresultscores colptslabels","post"
"191623","","364064.0","1 that a variable is on a bounded range doesnt make it discrete it may be discrete but being on 0100 isnt why continuous proportions are still bounded 2 likely the actual distribution wont be any common distribution but id probably start with a beta model for one proportion and dirichlet for a larger set of proportions that add to one 3 failure to reject normality in a distributional test doesnt tell you that you have normality 4 why do you care whether the data were drawn from some particular distribution or some other distribution","comment"
"242037","","461645.0","whuber im indeed looking for a small n asymptotic result which goes beyond the traditional argument that the empirical variance converges almost surely to the true variance such a result would provide the simple conditions which you are talking about im guessing that the fourth or fifth moment being finite might be sufficient if not having a moment generating function is probably more than sufficient","comment"
"79406","","","i have read that when you get more and more data you can find statistically significant differences wherever you lookmy question iswhy is this the case any intuitive examples that show this behavior why do such increases in statistical difference do not necessarily imply that the observed effects are meaningful important","post"
"277297","","","how can we determine the relationship between quantitative variables and qualitative variablesfor example age 20 45 and gender male female","post"
"373928","373659.0","","i found the issue the randomforest is also bootstrapping bagging the observations and hence one needs to average over the resampled observations not the initial sample ones so the averaging is done over the observations that were found in the node on a given bootstrap sample this is obtained using the keepinbagtrue argument for this case i1 t1 it shows that 1 1 1 0 ie last observation was not drawn in that specific sample which explains the resultsee codelibrary randomforest # randomforest 4614# type rfnews to see new features changes bug fixesdata swiss ## run forestsetseed 111 swissrf randomforest fertility dataswiss keepinbagtrue ## predict first obs from first tree onlyi 1t 1pred_i_t predict swissrf newdata swiss i predictalltrue individual t ## get node values extract obs in that nodenodes_tree1 attr predict swissrf newdata swiss nodes true nodes t bag_tree1 swissrfinbag swissnode nodes_tree1swissbag swissrfinbag t obs_i_tree_t subset swiss node nodes_tree1 i with obs_i_tree_t weightedmean fertility bag # 1 828pred_i_t# 1 828created on 20181026 by the reprex package v021","post"
"374624","","","i am working on a simple back propagation neural network that is predicting next value of a sensor reading it took me a while to train it based on the last year data and now i have the resultsthere are several inputs into my nn like temperature humidity day month hourthe answer i want from the nn is what is the next hour value for the sensor readinglets say that at 1300 reading is 50what will be the sensor reading at 1400 here are the outputs per houryellow predictedgreen sensor readingi think i could use it as an eventual trend for the next hour still i see some errors therelooking at the results above how do you tell if this network is performing well overfitted underfitted it suits at allhere are the stats of the training1000000 epochs 3700 training set 3700 validation set validation error 0000376 training error 0000214","post"
"70543","","179741.0","ok thats not a bad assumption","comment"
"365955","","","why does random forest variable importance not sum to 100","title"
"351746","","663592.0","i recently came about this issue too but couldnt solve it in r i used stata then where we can apply suest to see if two models are significantly different theres a suest function around in a package for r but i doubt that it is the same in stata suest is related to seemingly unrelated estimation note that sureg is somewhat different i am also interested in an r solution hope that would help somehow","comment"
"12508","","21997.0","this may well be in your list of layman measures already tried but doesnt simply ranking the values by frequency do what you want","comment"
"129081","","245414.0","were these real data or simulated data you can check the multiple r2 of the new predictor variable based on the set of previous predictors ie exclude y","comment"
"158281","","","i understand that principal component analysis pca can be applied basically for cross sectional data can pca be used for time series data effectively by specifying year as time series variable and running pca normally i have found that dynamic pca works for panel data and the coding in stata is designed for panel data and not time series is there any specific type of pca which works on time series dataupdate let me explain in detaili am presently constructing an index for infrastructure in india with variables like road length rail route length electricity generation capacity number of telephone subscribers etc i have 12 variables through 22 years for 1 country though i have reviewed papers that apply pca on time series and even panel data pca is designed for cross sectional data which assumes iid assumption panel and cross sectional data violates it and pca does not take into account the time series dimension in it i have seen dynamic pca being applied only on panel data i want to know if there is a specific pca that is applied on time series or running static pca with year defined as time series variable will do the job","post"
"387913","","728591.0","i think x y z should be independent for further analysis","comment"
"17116","","","category selection for text classification","title"
"12900","","22466.0","whuber thanks yes i am sure it gives a negative value i have posted an image of the output","comment"
"29207","","55989.0","sorry for the late delay anyways your approach doesnt really change my standard errors and your proposed solution is going again in the direction of the link i provided above that is computing the standard errors yourself i am just wondering why plm is not doing that automatically","comment"
"436229","","813158.0","no my target can actually take on any number between 2 and 2 the output of the network should be 1 or 1 since these are two discrete options that are multiplied with the target","comment"
"401701","","","this is exercise 629 from casella and bergers statistical inference so ill just post the question in full and ill also post the answer included in the solutions manual ill make the part that i dont fully understand bold and italicizedstatement of the problemthe concept of minimal sufficiency can be extended beyond parametric families of distributions show that if x_1 x_n are a random sample from a density f that is unknown then the order statistics are minimal sufficient hint use theorem 665 taking the family f_k boldsymbol x f_k boldsymbol x to be logistic densitiessolutionlet f_j text logistic alpha_j beta_j text j 0 1 k from theorem 665 the statistict boldsymbol x bigg frac prod_ i1 n f_1 x_i prod_ i1 n f_0 x_i frac prod_ i1 n f_k x_i prod_ i1 n f_0 x_i bigg bigg frac prod_ i1 n f_1 x_ i prod_ i1 n f_0 x_ i frac prod_ i1 n f_k x_ i prod_ i1 n f_0 x_ i bigg is minimal sufficient for the family f_k boldsymbol x f_k boldsymbol x as t is a 11 function of the order statistics the order statistics are also minimal sufficient for the family f_k boldsymbol x f_k boldsymbol x if mathscr f is a nonparametric family f_j in mathscr f so part b of theorem 665 can now be directly applied to show that the order statistics are minimal sufficient for mathscr f so my question is why is it true that these logistic densities are in mathscr f is it that if you include a possibly parametric family of densities in the same set as even a single density that you dont know how to parametrize you get a nonparametric family if so then i understand that since the order statistics are always sufficient for a random sample you get the desired result from theorem 55b but why can you just throw these logistic densities into some nonparametric family is it impossible for such an addition to dilute the family in the sense that some other smaller statistic was minimal sufficient for the family without these logistic densities but since youve now added them you add an element that renders that statistic insufficientfor the sake of completeness im posting theorem 665 belowtheorem 665 minimal sufficient statistics suppose that the family of densities f_0 boldsymbol x f_k boldsymbol x all have common support thena the statistic t boldsymbol x bigg frac f_1 boldsymbol x f_0 boldsymbol x frac f_2 boldsymbol x f_0 boldsymbol x frac f_k boldsymbol x f_0 boldsymbol x bigg is minimal sufficient for the family f_0 boldsymbol x f_k boldsymbol x b if mathscr f is a family of densities with common support and i f_i boldsymbol x in mathscr f i0 1 k ii t boldsymbol x is sufficient for mathscr f then t boldsymbol x is minimal sufficient for mathscr f","post"
"103229","","","is there some method which will allow me to find some set of random numbers z_1 dots z_n such thatz_1 c_1 + z_2 c_2 + + z_n c_n 0where for k1 dots n the c_k are fixed coefficients and z_k are realizations of a standard normal random variable many thanks in advanceedit the considered scenario is a multivariate normal distribution with known covariance matrix mathbf sigma and cholesky decomposition mathbf c mathbf c mathbf sigma i am using a montecarlo approach where i am interested in all realizations of the vector mathbf z z_1 z_2 z_n where using mathbf x mathbf c mathbf z the value of x_n z_1 c_1 + z_2 c_2 + + z_n c_n is equal to zero i hope this is a bit clearer","post"
"118239","","226701.0","thank you so much the picture was incredibly helpful thats exactly what i was confused about and this visualization helped to understand everything","comment"
"30729","","59788.0","neals marginal likelihood example and wilkinsons mh example are the sort of thing i had in mind ie algorithms that seem correct but arent do you want to make them in to answers","comment"
"191917","","364609.0","what do you mean by same distribution are observations of gamma considered as come from the same distribution or it is considered as the sum of exponential distributions","comment"
"149135","","","how to calculate mean and standard deviation of a range variable grades when the raw data is based on frequency categories","title"
"67709","","130749.0","theres not enough information were these coded as factors how were these variables used in the model were there interactions","comment"
"91737","","","can someone please walk me through this morass of sthere is a sigmasq in the summary output from geors likfit really this is the one id like to know about im not clear which of all of the other s it is a variance a different parameternmles variogram calls sigma an optional numeric value used as the height of a horizontal line displayed in the plot can be used to represent the process standard deviation default is null implying that no horizontal line is drawn i thought this was phigeor variofits documentation calls it a partial sill and says to set a starting value im also not quite conceptually clear on what variofit is modelling differently from likfit diggle ribiero modelbased geostatistics calls 2 signal variance is that the same sigma later p 33 they say 2 is the value the expectation of the vijs approach as the distance xixj grows and that uncorrelated yis have an expectation of 2","post"
"30247","","59082.0","also are the 30 output variables the same theoretically for both methods","comment"
"255743","","488255.0","the out put using crosstabs with statistics in spsspearson chisquare value 90000 df 81 asymptotic significance 2sided 231likelihood ratio value 46052df 81asymptotic significance 2sided 999linearbylinear association value 5739df 1asymptotic significance 2sided 017n of valid cases10a 100 cells 1000 have expected count less than 5 the minimum expected count is 10","comment"
"6780","","","how to calculate zipfs law coefficient from a set of top frequencies","title"
"55167","","106865.0","the numeric first derivative with respect to index is diff so if you have many ones in a row the derivative will be zeros if you have sparse ones then the each time it switches the diff will be bigger you could use ewma as a poor mans kernel smooth http enwikipediaorg wiki exponential_smoothing how does it work it makes a weighted average of a window of values a kernel function does something related but a little more complex it takes a window sometimes a much wider window and then computes a function based on the values in it sometimes the function looks like a pdf","comment"
"188750","","358404.0","until you can tell us more about the model the data and the roles of the theta_i in it this question has many possible correct answers presumably the question you are quoting has a contextperhaps its one in a series of questions about a particular statistical setting what is that setting","comment"
"262148","","501830.0","great answer i did as you suggested and i got negative but different slopes at both time points however none of those slopes is significant does this mean that the a vs b relationship is not actually significant if yes is there another reason why the interaction is significant","comment"
"212856","","404339.0","thank you whuber for your continued responses and patience i am a bit confused what outcomes are there that have a higher probability of occurrence that are in the critical region for any hypothesis test note that under my approach as with the fisher exact test we are not calculating a critical value we are directly calculating the pvalue compared to a significance level we always have the alternative for discrete distributions of calculating the pvalue directly based on the underlying distribution which in my example is i believe a joint binomial","comment"
"178307","","337645.0","pie we estimate the variance from the data","comment"
"88869","","173805.0","in the second graph it looks like the plotted point for the second peak is very close to the actual peak while in the first graph the closest points to the second peak are on either side of the actual peak redo your calculations on a finer grid and theyll probably look more alike","comment"
"157343","","299759.0","no need to change the formula formula in the answer should give you the correct results irrespective of the signs of the value see this http wwwpmeancom 13 predictedhtml","comment"
"192941","","","expectation of u given the first and second moments of u","title"
"281717","","","to gain an understanding of bptt im attempting to derive the formulas for bptt by hand but keep getting stuck heres what i have so farforward pass 1a_0 x_0 u_0b_0 s_ 1 w_0z_0 a_0 + b_0s_0 func_0 z_0 where func_0 is sig or tanh foward pass 2a_1 x_1 u_1b_1 s_0 w_1z_1 a_1 + b_1s_1 func_1 z_1 where func_1 is sig or tanh q s_1 v_1output passo func_2 q where func_2 is softmax e func_3 o where func_3 is xentropy now attempting to handbomb back prop for u by working backwards through the above network partial e partial u partial e partial u_1 + partial e partial u_0partial e partial u_1 partial e partial o partial o partial q partial q partial s_1 partial s_1 partial z_1 partial z_1 partial a_1 partial a_1 partial u_1partial e partial u_0 partial e partial o partial o partial q partial q partial s_1 partial s_1 partial z_1 partial z_1 partial b_1 partial b_1 partial s_0 partial s_0 dz_0 partial z_0 partial a_0 partial a_0 partial u_0gathering like termspartial e partial u partial e partial o partial o partial q partial q partial s_1 partial s_1 partial z_1 partial z_1 partial a_1 partial a_1 partial u_1 + partial z_1 partial b_1 partial b_1 partial s_0 partial s_0 partial z_0 partial z_0 partial a_0 partial a_0 partial u_0 making substitutionspartial e partial u partial e partial o partial o partial q v_1 partial s_1 partial z_1 1 x_1 + 1 w_1 partial s_0 partial z_0 1 x_0 ending with a nice clean formulapartial e partial u partial e partial o partial o partial q v_1 partial s_1 partial z_1 x_1 + w_1 partial s_0 partial z_0 x_0 and similarlypartial e partial w partial e partial o partial o partial q v_1 partial s_1 partial z_1 s_0 + w_1 partial s_0 partial z_0 s_ 1 the problem i face here is one of dimensionality my gut says w1 should not be in here does this formula make sense to anyone where have i gone wrongthanks","post"
"66886","","129140.0","how do you work out the sampling distribution of a mean without knowing what the distribution of a sum is first when you say the samples are related do you mean the observations are related or do you have multiple samples each containing many observations","comment"
"211057","","400984.0","so when q0 which happens often you try to calculate logarithm of negative number is it correct","comment"
"22616","","41074.0","rscript is clearly superior to r cmd batch which predates it","comment"
"335546","","634321.0","so that you are motivated to improve your answer thats how the voting system is designed to work if you adress some of the issues i mentioned above i will upvote","comment"
"35363","","74529.0","hi andy i do not have an example with that many observations interactivity is essential for data exploration i worked on a dataset with about 800 variables and 10 000 observations in a celllural telephone network to discover mysterious failures using the classifiers stagewise and with interactive the 11 variables responsible were found and tracing them backwards in time unsual activity in the network was detected 34 prior to noticing the failure","comment"
"367227","","690205.0","contd if you take it to an extreme and say 1 billion tosses came up heads then it is reasonable to conclude that the coin is heavily biased in favour of heads and again you dont need to know the underlying mechanism that causes the bias and therefore the probability of heads coming up in the next toss must be close to 1 also in the post i have assumed the prior to be 1 2 for heads","comment"
"123361","","235883.0","ctd though more recently than the 19th century the vysochanskijpetunin inequality http enwikipediaorg wiki vysochanskije28093petunin_inequality removes the need for symmetry for it to apply to intervals about the mean the original inequality was in relation to the mode but in symmetric unimodal distributions with a mean theyre the same that was published before my rediscovery of the older result but i only became aware of the generalization recently and am apparently still in the habit of needlessly restricting it","comment"
"321413","","610212.0","thanks could to help me out with this question https statsstackexchangecom questions 321442 whyismaximumlikelihoodusedforarimainsteadofleastsquares","comment"
"278552","","","estimating covariance matrix of innovations of multivariate random walk","title"
